size,test_mse,seed
471,0.09530207514762878,47143
471,0.10133783519268036,47144
471,0.11255834251642227,47146
471,0.09465374052524567,47145
471,0.09954043477773666,47147
471,0.09861534833908081,47148
471,0.10316072404384613,47149
471,0.09287791699171066,47150
471,0.10761424154043198,47151
310,0.11191430687904358,31042
310,0.11994151026010513,31043
310,0.10544990748167038,31044
310,0.11373355984687805,31045
310,0.1190154030919075,31046
310,0.11021029204130173,31048
310,0.10268545150756836,31047
310,0.10361815989017487,31049
310,0.12524612247943878,31050
310,0.09819109737873077,31051
621,0.09318181872367859,62142
621,0.08889409899711609,62143
621,0.10505408048629761,62144
621,0.09292890131473541,62145
621,0.10132099688053131,62148
621,0.0984085276722908,62146
621,0.09022176265716553,62147
621,0.09947919100522995,62149
621,0.09327597171068192,62150
621,0.08832307159900665,62151
88,0.1734524816274643,8842
88,0.1981768012046814,8843
88,0.1538926512002945,8844
88,0.14759236574172974,8845
88,0.16962696611881256,8846
88,0.17914223670959473,8847
88,0.16182564198970795,8848
88,0.17993423342704773,8849
88,0.16750013828277588,8851
88,0.17279261350631714,8850
177,0.16314095258712769,17742
177,0.18327510356903076,17744
177,0.14047454297542572,17743
177,0.10721774399280548,17745
177,0.14027144014835358,17746
177,0.14174461364746094,17747
177,0.16346916556358337,17749
177,0.12235923856496811,17748
177,0.12993012368679047,17751
177,0.12233294546604156,17750
356,0.10469458252191544,35642
356,0.11859434098005295,35643
356,0.10245860368013382,35644
356,0.10316523164510727,35645
356,0.10653746873140335,35647
356,0.0843384861946106,35646
356,0.10476286709308624,35648
356,0.10801773518323898,35649
356,0.1053326204419136,35650
356,0.09517291188240051,35651
135,0.13522973656654358,13542
135,0.2025856375694275,13544
135,0.13915367424488068,13543
135,0.12341101467609406,13546
135,0.12533292174339294,13545
135,0.13960812985897064,13547
135,0.1423858106136322,13548
135,0.1368689090013504,13549
135,0.15979191660881042,13550
135,0.14394021034240723,13551
270,0.11895276606082916,27042
270,0.11595919728279114,27043
270,0.10761899501085281,27044
270,0.13096798956394196,27045
270,0.1402048021554947,27047
270,0.11135737597942352,27046
270,0.1310710906982422,27048
270,0.11596223711967468,27050
270,0.10968056321144104,27049
270,0.11214838922023773,27051
166,0.14547497034072876,16643
166,0.11794611811637878,16642
